onset	duration	type	value	latency	trial
18.878	4	pentagram	1	18878	1
35.996	4	circle	3	35996	2
53.137	4	pentagram	1	53137	3
70.25	4	pentagram	1	70250	4
87.381	4	circle	3	87381	5
104.52	4	square	2	104520	6
121.65	4	square	2	121650	7
138.768	4	square	2	138768	8
155.903	4	square	2	155903	9
173.033	4	circle	3	173033	10
190.162	4	circle	3	190162	11
207.289	4	circle	3	207289	12
224.419	4	pentagram	1	224419	13
241.545	4	square	2	241545	14
258.675	4	circle	3	258675	15
275.789	4	pentagram	1	275789	16
292.92	4	circle	3	292920	17
310.052	4	square	2	310052	18
327.19	4	circle	3	327190	19
344.318	4	square	2	344318	20
361.445	4	square	2	361445	21
378.56	4	circle	3	378560	22
395.685	4	pentagram	1	395685	23
412.814	4	pentagram	1	412814	24
429.941	4	pentagram	1	429941	25
447.06	4	circle	3	447060	26
464.184	4	pentagram	1	464184	27
481.315	4	square	2	481315	28
498.44	4	square	2	498440	29
515.569	4	pentagram	1	515569	30
614.506	4	circle	3	614506	31
631.635	4	circle	3	631635	32
648.759	4	pentagram	1	648759	33
665.892	4	square	2	665892	34
683.02	4	square	2	683020	35
700.144	4	pentagram	1	700144	36
717.258	4	square	2	717258	37
734.39	4	circle	3	734390	38
751.517	4	circle	3	751517	39
768.643	4	square	2	768643	40
785.773	4	pentagram	1	785773	41
802.897	4	circle	3	802897	42
820.03	4	pentagram	1	820030	43
837.174	4	square	2	837174	44
854.291	4	square	2	854291	45
871.429	4	pentagram	1	871429	46
888.542	4	circle	3	888542	47
905.676	4	pentagram	1	905676	48
922.813	4	pentagram	1	922813	49
939.93	4	square	2	939930	50
957.057	4	circle	3	957057	51
974.188	4	circle	3	974188	52
991.294	4	circle	3	991294	53
1008.41	4	square	2	1008410	54
1025.537	4	circle	3	1025537	55
1042.664	4	pentagram	1	1042664	56
1059.795	4	pentagram	1	1059795	57
1076.928	4	square	2	1076928	58
1094.055	4	pentagram	1	1094055	59
1111.165	4	square	2	1111165	60
1219.147	4	pentagram	1	1219147	61
1236.27	4	pentagram	1	1236270	62
1253.397	4	pentagram	1	1253397	63
1270.513	4	pentagram	1	1270513	64
1287.639	4	square	2	1287639	65
1304.769	4	circle	3	1304769	66
1321.881	4	pentagram	1	1321881	67
1339.008	4	circle	3	1339008	68
1356.138	4	square	2	1356138	69
1373.25	4	square	2	1373250	70
1390.381	4	square	2	1390381	71
1407.522	4	square	2	1407522	72
1424.639	4	square	2	1424639	73
1441.766	4	circle	3	1441766	74
1458.878	4	pentagram	1	1458878	75
1475.991	4	circle	3	1475991	76
1493.1	4	circle	3	1493100	77
1510.232	4	circle	3	1510232	78
1527.362	4	pentagram	1	1527362	79
1544.499	4	circle	3	1544499	80
1561.631	4	pentagram	1	1561631	81
1578.759	4	pentagram	1	1578759	82
1595.872	4	square	2	1595872	83
1612.984	4	pentagram	1	1612984	84
1630.097	4	square	2	1630097	85
1647.224	4	circle	3	1647224	86
1664.352	4	square	2	1664352	87
1681.48	4	circle	3	1681480	88
1698.61	4	square	2	1698610	89
1715.738	4	circle	3	1715738	90
1799.118	4	square	2	1799118	91
1816.249	4	circle	3	1816249	92
1833.365	4	pentagram	1	1833365	93
1850.484	4	square	2	1850484	94
1867.615	4	pentagram	1	1867615	95
1884.745	4	pentagram	1	1884745	96
1901.855	4	circle	3	1901855	97
1918.987	4	pentagram	1	1918987	98
1936.114	4	pentagram	1	1936114	99
1953.228	4	pentagram	1	1953228	100
1970.335	4	square	2	1970335	101
1987.451	4	circle	3	1987451	102
2004.578	4	circle	3	2004578	103
2021.703	4	pentagram	1	2021703	104
2038.854	4	square	2	2038854	105
2055.969	4	circle	3	2055969	106
2073.092	4	square	2	2073092	107
2090.205	4	circle	3	2090205	108
2107.333	4	square	2	2107333	109
2124.451	4	pentagram	1	2124451	110
2141.586	4	square	2	2141586	111
2158.721	4	pentagram	1	2158721	112
2175.851	4	circle	3	2175851	113
2192.988	4	circle	3	2192988	114
2210.123	4	circle	3	2210123	115
2227.25	4	circle	3	2227250	116
2244.374	4	pentagram	1	2244374	117
2261.491	4	square	2	2261491	118
2278.622	4	square	2	2278622	119
2295.76	4	square	2	2295760	120
